return_id,user_id,order_id,return_rate_30d,return_rate_90d,avg_order_value,time_since_signup_days,return_to_purchase_gap_days,category_return_concentration,order_value,refund_amount,is_fraud
ret_f6ae92bcfd,user_2594af90e4,order_fb3edd511d,0.3333,0.3333,17487.71,9,3,0.5833,4144.17,3798.33,False
ret_5fa6d3f7f9,user_448cc766e2,order_d175793bac,0.5,1.0,13872.68,284,12,0.4167,3177.69,2972.01,False
ret_063d95199c,user_448cc766e2,order_230e74e86c,0.6667,0.4,13872.68,205,16,0.4167,2381.96,2321.99,False
ret_ea50614889,user_3fd5abe6c0,order_186d15606c,0.6667,0.6667,1843.79,16,2,0.6667,3934.03,3459.16,False
ret_e1d71e8683,user_3fd5abe6c0,order_4427dc12b3,1.0,0.6667,1843.79,58,30,0.6667,899.5,737.43,False
ret_9f73588f74,user_6b27e34cf8,order_ae4dddda8a,1.0,1.0,3954.42,211,5,1.0,3674.91,3343.29,False
ret_e1988d7ed7,user_0be08099ad,order_c552585e35,1.0,0.6667,9880.24,401,22,0.6667,1048.32,856.61,False
ret_a1a5ef75e7,user_0be08099ad,order_b7af3cc501,1.0,0.6667,9880.24,378,1,0.6667,3266.64,2846.61,False
ret_8320fe3165,user_9c7c1fae2e,order_a29f01c3f0,0.3333,0.3333,15832.98,30,23,0.3333,2085.35,1992.01,False
ret_a458b70f37,user_8bc5172bae,order_6809ad88c2,0.1667,0.1667,16830.35,27,22,0.5,4804.15,4127.38,False
ret_e77668d307,user_01e9a99e8a,order_e40b5ffab4,0.5,0.5,11190.68,261,5,0.4444,690.6,625.61,False
ret_d168a5a412,user_01e9a99e8a,order_e76d8ebfcb,0.5556,0.5556,11190.68,18,6,0.4444,502.61,452.25,False
ret_b775488438,user_01e9a99e8a,order_13dd228c40,0.5556,0.5556,11190.68,30,25,0.4444,4104.93,3497.64,False
ret_2cf9252bb0,user_01e9a99e8a,order_f27a7e4cd3,0.5,0.5,11190.68,250,3,0.4444,3403.23,3030.27,False
ret_b58413631e,user_01e9a99e8a,order_9b952cd669,0.5556,0.5556,11190.68,26,22,0.4444,3052.6,3032.8,False
ret_f96dd15901,user_daf83ced84,order_35b3a085ef,0.375,0.3636,8166.98,50,30,0.5455,4230.74,3861.5,False
ret_582c5dfad7,user_daf83ced84,order_ab8ff7af72,1.0,0.5,8166.98,489,7,0.5455,4598.21,4383.9,False
ret_0ed3f663ee,user_daf83ced84,order_ee18a4d8d3,0.4,0.3333,8166.98,256,29,0.5455,1698.88,1572.2,False
ret_5627f66528,user_daf83ced84,order_b060f045f8,0.3636,0.3636,8166.98,15,8,0.5455,1951.97,1875.72,False
ret_a622079bc2,user_78afef0bef,order_6f0385be32,0.75,0.375,2306.21,72,19,0.875,2599.13,2262.75,False
ret_21f34c2b96,user_78afef0bef,order_be7ed30625,0.6667,0.6667,2306.21,167,4,0.875,4393.88,3893.79,False
ret_29344fc2ab,user_78afef0bef,order_1728c70695,1.0,0.5,2306.21,321,18,0.875,1888.43,1619.74,False
ret_d08faa3e87,user_277c2e161c,order_ac35107164,0.4,0.4,7131.99,25,12,0.8,1911.62,1787.7,False
ret_da8f9bc75e,user_277c2e161c,order_23d48be388,0.4,0.4,7131.99,31,10,0.8,1433.04,1210.88,False
ret_416be3189d,user_1e4a95850a,order_67759cfa66,0.1429,0.1429,12623.54,174,24,0.5714,3080.65,2826.08,False
ret_f8a309bf9a,user_bc45bc76b0,order_b89e5892c2,0.5,0.1111,6645.18,76,6,0.4444,766.23,725.03,False
ret_f4c3e7d672,user_f4cee332e3,order_59e7917e76,0.5,0.5,17080.38,359,19,0.5,1493.82,1341.1,False
ret_4258993262,user_f4cee332e3,order_41b5f21256,0.2,0.2,17080.38,16,5,0.5,2547.4,2299.41,False
ret_ba8f48a624,user_1f0438e31f,order_461ac9b650,0.4286,0.3333,12355.8,37,26,0.4444,44298.79,41288.22,False
ret_9557306d5a,user_1f0438e31f,order_89992055f0,0.3333,0.3333,12355.8,8,4,0.4444,4838.65,4445.7,False
ret_4ceabe66bd,user_1f0438e31f,order_75d48be0c1,0.3333,0.3333,12355.8,21,7,0.4444,602.31,572.72,False
ret_33f7eb7587,user_8c487f3290,order_bb4ecb519f,0.25,0.25,3559.96,26,13,0.4167,12157.72,11364.24,False
ret_aa0cada89a,user_8c487f3290,order_6bc2b61e46,0.4,0.4,3559.96,263,26,0.4167,4719.28,4494.36,False
ret_387df10320,user_8c487f3290,order_bf345fe549,0.25,0.4,3559.96,306,24,0.4167,4322.03,3559.03,False
ret_fdd02f0060,user_393dfbb016,order_3978f56543,0.25,0.1429,8724.41,49,25,0.5714,4915.93,4740.52,False
ret_9f4703de5d,user_68a9a55da1,order_0c58d75d2c,1.0,1.0,9769.25,193,29,0.8571,4226.28,4114.81,False
ret_f5f430c7ba,user_68a9a55da1,order_e55b0e60c5,2.0,1.0,9769.25,217,3,0.8571,51776.71,48508.86,False
ret_8f4c4dc2a3,user_0252fd4ee0,order_397a42142a,0.5,0.25,7537.12,255,8,0.5,3854.55,3633.38,False
ret_7e29323b3d,user_0252fd4ee0,order_c53f86e4a4,0.25,0.25,7537.12,25,13,0.5,3960.53,3419.27,False
ret_e578ee295b,user_99d32270b7,order_731e7b0ae7,0.5,0.5,3395.69,42,17,0.75,918.79,766.19,False
ret_747c2714bd,user_99d32270b7,order_4c8ef2aa3b,0.5,0.5,3395.69,166,9,0.75,2233.57,2007.14,False
ret_7be4d19526,user_0b47aaefe4,order_d042c1b02a,0.1111,0.1111,8468.1,32,26,0.5556,1942.99,1667.6,False
ret_7d6322f940,user_e5132237a9,order_72f7f2a305,0.3333,0.2857,4649.44,43,20,0.5714,2642.73,2580.94,False
ret_6121f5d7de,user_e5132237a9,order_6b54068f5f,0.3333,0.2857,4649.44,41,28,0.5714,1220.61,1107.55,False
ret_6a00f11b27,user_fc97be5248,order_619f366a69,0.5,0.5,7286.24,151,2,0.8333,1573.58,1345.36,False
ret_a82dd4f706,user_f0d40c7b69,order_a68bcc9161,0.1667,0.1667,12391.09,29,17,0.5,47521.26,45143.32,False
ret_cb721b0077,user_f0d40c7b69,order_f519c5410d,0.3333,0.1667,12391.09,92,18,0.5,9696.07,8528.11,False
ret_753bfff135,user_01f3b47b32,order_05985c156e,0.3333,0.3333,3003.6,27,13,0.8333,4359.43,4033.0,False
ret_b169b7c889,user_01f3b47b32,order_a417779e87,0.3333,0.3333,3003.6,30,21,0.8333,4811.14,3936.67,False
ret_3faf43c870,user_6f4f4533ea,order_1027d60462,0.3333,0.3333,6815.63,16,4,0.4444,3630.19,3332.21,False
ret_2650ec3886,user_6f4f4533ea,order_fde578ea10,1.0,0.3333,6815.63,65,21,0.4444,1530.26,1249.99,False
ret_63561b5a63,user_6f4f4533ea,order_cf6eb7eb49,0.375,0.3333,6815.63,31,20,0.4444,3425.09,3089.1,False
ret_a266701323,user_9b5866c73c,order_4943f4eb59,1.0,0.5,8717.07,236,3,0.3333,6118.7,5520.66,False
ret_baf3cf2dfc,user_9b5866c73c,order_a36f9a9d0c,0.2857,0.2222,8717.07,42,20,0.3333,46492.38,42855.12,False
ret_1c47f8d4b1,user_bfe92065d4,order_f0f17f6447,0.5,0.25,14855.87,44,19,0.5,2060.17,1906.7,False
ret_17783ee64a,user_98b34babe3,order_89b50db362,0.3333,0.2727,8051.97,39,25,0.5455,975.46,972.06,False
ret_9decd6f4ff,user_98b34babe3,order_f995ecad7f,1.0,2.0,8051.97,201,3,0.5455,2181.57,1831.54,False
ret_edc6b983db,user_98b34babe3,order_814980f921,0.6667,0.6,8051.97,117,29,0.5455,4354.58,4221.57,False
ret_27a51ba9b5,user_b9268286a0,order_2e13a01c07,1.0,0.25,2697.8,69,18,1.0,1758.99,1682.1,False
ret_df99ea3a9a,user_154ee48e67,order_eb034a7951,0.2727,0.2727,17222.65,19,8,0.4545,4961.89,3989.29,False
ret_4dfc4f1367,user_154ee48e67,order_c49e17d77c,0.25,0.2,17222.65,148,23,0.4545,3455.89,2887.37,False
ret_50a6692b2e,user_154ee48e67,order_8db111a734,0.2727,0.2727,17222.65,34,23,0.4545,3166.34,3129.56,False
ret_8e01f1cc49,user_84969831fe,order_639889a268,0.25,0.25,1351.49,325,26,0.5,850.13,698.47,False
ret_13354f2dbc,user_420024cf53,order_2f871a33a5,0.5,0.6,12396.74,256,4,0.6667,1934.23,1566.59,False
ret_c0034f87e6,user_420024cf53,order_ae96d9ef3b,0.5,0.6,12396.74,267,3,0.6667,33728.68,28969.9,False
ret_25f14fd846,user_420024cf53,order_bf4dd28056,0.6,0.5,12396.74,212,21,0.6667,4740.99,4069.49,False
ret_a36cb54c34,user_5c05d5db17,order_dc16c6d248,0.3333,0.25,9819.49,308,10,0.75,4484.72,3658.59,False
ret_ffd4d1f615,user_5c05d5db17,order_da23cd1901,0.25,0.25,9819.49,46,25,0.75,10765.58,9579.3,False
ret_7b4fdf64cf,user_2cf2ee33e5,order_5ae6bd4bee,1.0,1.0,1693.31,159,19,0.6667,1742.9,1599.26,False
ret_ee65d874fb,user_7753592d72,order_d7e66d08f3,0.1429,0.1429,6371.66,35,7,0.7143,3855.87,3789.11,False
ret_40c4eba3ff,user_4c55628b3e,order_621448a6a7,0.4286,0.3,7834.98,56,28,0.7,4012.32,3669.07,False
ret_47de5881f6,user_4c55628b3e,order_073aa31f30,0.5,0.3333,7834.98,349,25,0.7,2121.69,2107.75,False
ret_fefa44f42a,user_4c55628b3e,order_43d8737d2f,0.3333,0.3,7834.98,40,23,0.7,4417.16,4101.55,False
ret_b8dcc9a7de,user_4a1b6cbc35,order_85b632e0f4,0.5,0.125,17444.67,81,18,0.5,2827.82,2623.26,False
ret_0374b7a890,user_ee38c81970,order_7c049aca53,0.3333,0.3333,9717.38,35,11,0.4167,3834.14,3551.21,False
ret_3c287e56c9,user_ee38c81970,order_9933f8f82e,0.2,0.4,9717.38,191,15,0.4167,2856.69,2441.63,False
ret_e5c7110d9a,user_ee38c81970,order_5422124477,0.4,0.3333,9717.38,54,18,0.4167,37997.97,31913.84,False
ret_3a44cf845d,user_ee38c81970,order_e695c138ce,0.3333,0.4444,9717.38,124,24,0.4167,1401.33,1190.8,False
ret_150a28735c,user_ecca332a00,order_5705005a17,1.0,0.5,4178.75,42,23,1.0,3381.44,2783.46,False
ret_fab6f63f97,user_031c426e57,order_76bf4e772a,0.3333,0.3333,14189.76,12,9,0.4167,19464.75,18080.17,False
ret_3c58d2cecf,user_031c426e57,order_aeaf84b5d4,0.3333,0.6,14189.76,384,6,0.4167,4237.94,4131.26,False
ret_61b2779c7d,user_031c426e57,order_3f50dba555,0.5,0.375,14189.76,310,28,0.4167,978.19,930.89,False
ret_0e80676863,user_031c426e57,order_1e8558cf39,0.4,0.4286,14189.76,350,29,0.4167,2343.9,2080.31,False
ret_e80694ed53,user_4d866e8f14,order_f8157af27b,0.2,0.1667,20186.91,125,6,0.5556,39966.57,35909.34,False
ret_946d23bda1,user_d1a1c8028e,order_7f66e11247,0.0909,0.0833,13748.23,35,13,0.4167,3067.87,2692.09,False
ret_48a00bc9ac,user_32d0e2a4d0,order_d52fb16b34,0.5,0.3333,2279.44,38,30,1.0,2428.29,2099.32,False
ret_06c98acd35,user_976bfdc2dc,order_438e8fac0f,0.6,0.5,16037.04,269,17,0.7,2773.13,2674.47,False
ret_c253ac8e5b,user_976bfdc2dc,order_fad28486e0,0.3333,0.5,16037.04,359,21,0.7,1460.09,1224.29,False
ret_eabef2f85f,user_976bfdc2dc,order_76d388be21,0.4444,0.4,16037.04,69,25,0.7,1821.08,1652.8,False
ret_404263447e,user_976bfdc2dc,order_52c1d19483,0.5,0.5,16037.04,243,22,0.7,3510.22,3105.99,False
ret_9258949ac2,user_20561facb0,order_9631588547,0.25,0.25,9249.43,20,19,0.6667,37864.26,34809.79,False
ret_d1d4b63fd3,user_20561facb0,order_9a6ddb8566,0.25,0.25,9249.43,10,7,0.6667,6210.19,5897.56,False
ret_204c231439,user_20561facb0,order_acdd755309,0.3,0.25,9249.43,32,27,0.6667,3473.25,2954.17,False
ret_11a03decd4,user_8aaf3ec0d5,order_d438ad7f88,0.5,0.4,15085.0,36,21,0.5,941.91,867.81,False
ret_7cca7e71e1,user_8aaf3ec0d5,order_ecebb51d6e,3.0,0.4,15085.0,55,27,0.5,1783.12,1649.96,False
ret_3f290350b7,user_8aaf3ec0d5,order_19d7e9abf0,0.5,0.4,15085.0,36,17,0.5,2686.38,2488.46,False
ret_57ad59bdb7,user_8aaf3ec0d5,order_ded318422c,0.4,0.4,15085.0,14,9,0.5,48846.59,44386.6,False
ret_f1c1417ea8,user_d00b3aacbc,order_8b7191a3d5,0.125,0.125,6072.45,28,21,0.625,1484.69,1300.15,False
ret_79306edb35,user_8ba94f20cc,order_997ec3f6d7,0.2857,0.2857,3286.68,5,5,0.7143,2669.5,2441.78,False
ret_0f9d429050,user_8ba94f20cc,order_55948a110d,0.2857,0.2857,3286.68,12,6,0.7143,2815.44,2397.77,False
ret_6ff1d97768,user_2bb18a7101,order_fcc9832931,0.1111,0.1111,14614.38,27,26,0.4444,4557.24,4321.53,False
ret_41f88a8b71,user_1122b3d596,order_8e4a8f261e,0.3333,0.3333,5656.89,34,26,0.6667,4445.45,3837.23,False
ret_4bf83ccf53,user_88a5348616,order_57b2fdbe89,0.1667,0.1667,6244.6,67,13,0.5,4027.05,3854.76,False
ret_282a1e631c,user_7beca91d35,order_a18501ed82,1.0,1.0,2676.11,223,2,0.6,3240.63,3100.61,False
ret_3c710f1853,user_7beca91d35,order_3a44334cb2,1.0,1.0,2676.11,564,8,0.6,4835.88,4502.22,False
ret_861f3e789a,user_92ec45fb9e,order_cc90660512,0.6667,0.6667,9590.41,35,6,0.3333,1783.9,1572.38,False
ret_82d37ffbd6,user_92ec45fb9e,order_2bdd39bc2d,0.6667,0.6667,9590.41,46,17,0.3333,4833.76,4791.91,False
ret_3da18eb725,user_f444cd77d0,order_49bcf43637,0.3333,0.25,7331.52,271,30,0.5,46658.1,38992.04,False
ret_f0198cfa74,user_f1a9c59aff,order_daccfe3d3b,0.5,0.5,1825.12,15,4,1.0,2005.95,1745.61,False
ret_c46a73dedc,user_8298476aeb,order_8753aa3169,0.1818,0.1667,14342.77,60,30,0.5833,1789.36,1745.95,False
ret_867cdbccb4,user_8298476aeb,order_d5d87c828f,1.0,0.5,14342.77,609,12,0.5833,1327.49,1290.42,False
ret_71af5f407c,user_1b3e7ee31b,order_aa873fad9e,0.3333,0.3333,11894.22,34,17,0.5,9836.66,9473.45,False
ret_e1f9d72c68,user_1b3e7ee31b,order_991a2fe3d6,0.5,0.3333,11894.22,222,1,0.5,2146.02,1952.11,False
ret_e3a4d82468,user_95b80268d3,order_e0c25d0741,0.4,0.4,8330.1,32,10,0.4,3817.03,3137.87,False
ret_4c82ab7a13,user_95b80268d3,order_63c83a30e2,0.4,0.4,8330.1,26,1,0.4,1578.03,1310.44,False
ret_d9f14bd1ef,user_570a30a7b1,order_af4bf8ac43,0.25,0.25,14918.69,22,16,0.5,2665.53,2181.15,False
ret_65b43a1025,user_570a30a7b1,order_ad13788e73,0.25,0.25,14918.69,22,12,0.5,937.11,870.5,False
ret_11dab5e319,user_31fd44e3a8,order_b833354724,0.6,0.6,8776.38,36,12,0.8,3012.58,2605.09,False
ret_ebc92eac93,user_31fd44e3a8,order_e22739c141,0.6,0.6,8776.38,24,10,0.8,677.7,653.22,False
ret_3fc7670a11,user_31fd44e3a8,order_5cb24b8f58,0.3333,0.6,8776.38,69,21,0.8,33478.58,30170.61,False
ret_fe2536d500,user_658442a579,order_675de5fbc0,0.5,0.5,15585.41,151,30,0.5714,2854.4,2809.32,False
ret_d9add3a741,user_0f3159daac,order_41e73c4378,1.0,0.6667,25814.21,98,27,0.6,2976.07,2942.35,False
ret_b814205d16,user_0f3159daac,order_ca5940edf2,1.0,1.0,25814.21,141,29,0.6,4929.77,4517.79,False
ret_b7e97e257f,user_2d90b9c00f,order_a10f33a3f6,1.0,0.5,16211.72,208,25,0.375,14611.36,13536.53,False
ret_aefe6409e9,user_2d90b9c00f,order_2933d5decd,0.6667,0.8,16211.72,103,18,0.375,47988.44,43812.61,False
ret_7d1271f365,user_2d90b9c00f,order_1f06426455,0.5,0.5,16211.72,20,2,0.375,4545.61,4248.9,False
ret_888ca2ee76,user_2d90b9c00f,order_58c8c3a11d,0.5,0.5,16211.72,16,14,0.375,4137.54,3549.83,False
ret_b5b81ffba6,user_b78486ebf6,order_568a71784d,1.0,1.0,10139.87,227,2,0.5556,2182.19,1869.71,False
ret_07ef36f07b,user_b78486ebf6,order_b44c468698,1.0,0.5556,10139.87,50,21,0.5556,745.42,737.25,False
ret_85b67dfb97,user_b78486ebf6,order_206557eb2d,0.7143,0.5556,10139.87,46,28,0.5556,4246.0,4172.01,False
ret_0d66ce143d,user_b78486ebf6,order_124bc405e3,1.0,1.0,10139.87,227,28,0.5556,3622.08,3537.61,False
ret_9cf9f6d0de,user_b78486ebf6,order_826752d334,0.5556,0.5556,10139.87,27,11,0.5556,14288.77,12816.06,False
ret_ee40a53d1f,user_6011238f50,order_e76126b602,0.4,0.4,4649.22,379,13,0.5,3579.4,3236.29,False
ret_ed10d25868,user_6011238f50,order_9d886497e4,0.25,0.25,4649.22,471,5,0.5,779.04,689.68,False
ret_7e1b82dfbc,user_11f48a64ac,order_e12799e44c,0.2,0.2,15010.38,30,7,0.4,4277.85,3513.63,False
ret_dcef007fa2,user_5919efd0ed,order_7052143a79,0.1667,0.1667,12949.63,26,0,0.5,4859.67,4642.17,False
ret_6771f75c55,user_d9eda2a1d0,order_af45bf8783,0.2222,0.1818,15190.28,45,19,0.4545,991.92,971.41,False
ret_d40e6bf07f,user_d9eda2a1d0,order_526e2886b4,0.3333,0.3333,15190.28,149,11,0.4545,2670.01,2505.39,False
ret_66a79a50dc,user_723c5a0c68,order_c686effb5d,1.0,0.5,8380.43,414,19,0.5455,4538.88,4534.36,False
ret_407aee23f8,user_196d31a530,order_628a007a3e,0.4,0.1667,14434.2,49,24,0.5,2002.07,1873.22,False
ret_88765f6884,user_196d31a530,order_e03ccebc2b,0.1667,0.1667,14434.2,24,1,0.5,1999.77,1735.46,False
ret_cbda32f5c5,user_3ba948b651,order_8710e7ef1b,0.5,0.5,4203.54,18,15,1.0,3711.55,3629.29,False
ret_cf1c16fee6,user_381571c89a,order_b940dd5cb7,0.1667,0.1429,18707.72,114,29,0.625,3671.05,3389.81,False
ret_1a2076a63e,user_af274848af,order_528b9eacf9,0.6667,0.6667,2598.51,40,23,1.0,3422.53,3142.55,False
ret_7be6fabedb,user_af274848af,order_73e7f34d02,0.6667,0.6667,2598.51,34,22,1.0,1215.59,991.41,False
ret_1d406d29d5,user_fe0abbc896,order_8dc8efe905,0.3333,0.3333,6023.82,463,18,0.6364,1479.25,1426.22,False
ret_8ec3fede8a,user_fe0abbc896,order_f37d89d777,0.1818,0.1818,6023.82,15,6,0.6364,4074.56,3646.63,False
ret_c7475aad3a,user_0c9af70125,order_ea9fabaae4,0.0833,0.0833,10422.02,29,2,0.5833,533.43,523.14,False
ret_8ab819cca8,user_39818786b6,order_390c0cc566,0.1818,0.1818,20798.47,31,19,0.5455,845.88,800.94,False
ret_e0906f7699,user_39818786b6,order_405d32b794,1.0,0.25,20798.47,197,15,0.5455,338.35,297.66,False
ret_c752782c3e,user_03ea6c644d,order_10b8a5e7e5,0.3333,0.2857,8503.88,86,3,0.4286,2890.82,2319.57,False
ret_946661ea95,user_03ea6c644d,order_82d975d4cd,0.2857,0.2857,8503.88,44,20,0.4286,3128.8,2560.57,False
ret_a988af2c65,user_03899709b9,order_73e2e8411b,0.3333,0.4,15343.17,264,3,0.5455,6391.42,5843.48,False
ret_4511f1ce03,user_03899709b9,order_0ca3dba298,0.2857,0.4,15343.17,304,16,0.5455,1046.24,868.14,False
ret_53f27189ee,user_03899709b9,order_6a6bda8fe6,0.1667,0.1667,15343.17,407,13,0.5455,40719.59,34745.51,False
ret_6c63d35ed1,user_03899709b9,order_17a3b9447f,0.4,0.4,15343.17,230,8,0.5455,12349.65,9887.89,False
ret_5120c05811,user_fed8d68f9e,order_43c9d9137d,0.6667,0.6667,13096.04,23,21,0.5,3345.23,2969.22,False
ret_102c18df81,user_fed8d68f9e,order_aa9fd39382,0.5,0.5,13096.04,169,24,0.5,4340.04,4336.9,False
ret_748e719808,user_fed8d68f9e,order_0118fa761a,0.3333,0.5,13096.04,215,18,0.5,2568.38,2385.21,False
ret_876f7d5b99,user_fed8d68f9e,order_11567e14b2,0.8,0.6667,13096.04,48,26,0.5,53994.72,50981.94,False
ret_d5f554ef78,user_aa6000d5f3,order_2172f78b88,1.0,0.5,11145.75,113,6,0.7,3419.54,2965.09,False
ret_05378c156b,user_aa6000d5f3,order_de5be1b342,0.3333,0.3,11145.75,33,26,0.7,3177.4,3080.4,False
ret_8ec47504d5,user_aa6000d5f3,order_a7aecc6597,0.5,0.3,11145.75,54,29,0.7,1411.89,1267.02,False
ret_7243b8e195,user_0180f7c35c,order_f25fd5248b,0.1667,0.1667,9573.76,7,0,0.5,1719.27,1652.27,False
ret_8a9226d7ed,user_0180f7c35c,order_f984855da8,0.1667,0.1667,9573.76,7,0,0.5,3319.09,2728.38,False
